date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,София,Бакалийка,Бакалия,АЕА КРЪНЧ ЗЪРНЕН 160гр.,NA,2.1,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,АЕА КРЪНЧ ПЪЛНОЗЪРНЕСТ 160гр.,NA,2.4,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,АЕА СОЛЕНКИ СИРЕНЕ 190гр.,NA,2.6,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,АЕА ТАРАЛИ ДОМАТ РИГАН БОСИЛЕК 280гр.,NA,3.3,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,АЕА ТАРАЛИ КЛАСИК 280гр.,NA,3.3,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,АЕА ТАРАЛИ ЛЮТИ 280гр.,NA,3.3,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,АНАКОМ СПАГЕТИ БЕКОН 60гр.,NA,0.8500000000000001,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,АНАКОМ СПАГЕТИ ГОВЕЖДО 60гр.,NA,0.8500000000000001,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,АНАКОМ СПАГЕТИ ГЪБИ 60гр.,NA,0.8500000000000001,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,АНАКОМ СПАГЕТИ КУПА БЕКОН И КАШКАВАЛ 50гр.,NA,1.7,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,АНАКОМ СПАГЕТИ КУПА ГЪБИ 50гр.,NA,1.7,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,АНАКОМ СПАГЕТИ КУПА ПИЛЕ 50гр.,NA,1.7,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,АНАКОМ СПАГЕТИ КУПА ТЕЛЕШКО 50гр.,NA,1.7,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,АНАКОМ СПАГЕТИ ПИЛЕ 60гр.,NA,0.8500000000000001,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,АРТУР КРЕКЕРИ СУСАМ 90гр.,NA,0.5,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БАРИЛА МАКАРОНИ ФАРФАЛЕ 500гр.,NA,2.8,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БАРИЛА МАКАРОНИ ФУСИЛИ 500гр.,NA,2.8,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БАРИЛА СПАГЕТИ N1 500гр.,NA,2.8,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БАРИЛА СПАГЕТИ N13 500гр.,NA,2.8,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БАРИЛА СПАГЕТИ N3 500гр.,NA,2.8,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БГ ЛАЙН БАР АСОРТИ 25гр.,NA,1,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БЕЙК РОЛС БЕКОН 96гр.,NA,1.4,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БЕЙК РОЛС ГЪБИ 96гр.,NA,1.4,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БЕЙК РОЛС ДОМАТ 98гр.,NA,1.4,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БЕЙК РОЛС ПИЦА 96гр.,NA,1.4,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БЕЙК РОЛС СОЛ 96гр.,NA,1.4,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БЕСТИНИ БЕКОН 80гр.,NA,1.5,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БИОСЕТ ЗЪРН. ЗАКУСКА МЕДЕНИ КРЪГЧЕТА 375гр.,NA,4.4,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БИОСЕТ КОРН. НАТУРАЛЕН 375гр.,NA,4.5,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БИОСЕТ МЮСЛИ КРЪНЧИ МЕД 500гр.,NA,5.2,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БИОСЕТ МЮСЛИ КРЪНЧИ ШОКОЛАД 375гр.,NA,5.2,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БИОСЕТ МЮСЛИ КРЪНЧИ ЯБЪЛКА И КАНЕЛА 500гр.,NA,5.2,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БИОСЕТ МЮСЛИ С ПЛОДОВЕ 500гр.,NA,6.3,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БИОСЕТ МЮСЛИ ШОКОЛАДОВО 450гр.,NA,5.2,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БИОСЕТ ОВЕСЕНИ ТРИЦИ 500гр.,NA,3.4,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БИОСЕТ ОВЕСЕНИ ЯДКИ 500гр.,NA,2.5,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БИОСЕТ ПЪЛНОЗЪРНЕСТО МЮСЛИ 500гр.,NA,4.6,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БИОСЕТ ШОК. МИДИЧКИ 375гр.,NA,4.4,NA,NA,NA
2024-08-05,София,Бакалийка,Бакалия,БИОСЕТ ШОКОЛАДОВИ ТОПЧЕТА 375гр.,NA,4.4,NA,NA,NA
