date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,София,Bestmart,Напитки,Уиски Bushmills 1л,NA,43.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Savoy White Rum 700мл,NA,11.19,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Мента Пещера 700мл,NA,9.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Водка Finlandia 1л,NA,27.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Водка Savoy Silver 1л,NA,15.29,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Водка Flirt 1л,NA,14.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Ракия Бургас 63 0.5л,NA,18.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Ракия Бургаска Мускатова 700мл,NA,15.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Ракия Пещерскя Отлежала 1л,NA,18.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Ракия Сливенска Перла 500мл,NA,18.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Уиски Jack Daniels 1 л,NA,58.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Уиски Johnnie Walker Red Label 1л,NA,35.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Водка Platinum Traditional 700мл,NA,11.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Уиски Jameson Triple Distilled 1 л,NA,43.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Джин Beefeater 1 л,NA,34.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Мента Пещера 1л,NA,12.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Ликьор Baileys 1 л,NA,39.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Вино Вила Ямбол Мускат 3л,NA,14.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Вино Меди Вали Совиньон Блан 5л,NA,24.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Вино Търговище Траминер 3л,NA,15.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Вино Меди Вали Мерло 5л,NA,24.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Бира Ариана 2.3л,NA,3.25,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Бира Корона 355мл,NA,3.59,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Мастика Пещера 1л,NA,16.19,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Уиски Teacher’s 700мл,NA,21.99,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,БИРА ШУМЕНСКО 2.0 л.,NA,3.69,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Мента Пещера Фреш Лайм 330г,NA,2.19,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Бира StaroPramen Кен 500г,NA,2.19,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Бира Стела Артоа Кен 500г,NA,2.3899999999999997,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,Бира Шуменско Кен 500г,NA,1.79,NA,NA,NA
2024-08-05,София,Bestmart,Напитки,БИРА ПИРИНСКО 2.3 л.,NA,3.19,NA,NA,NA
