date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,от 0 лвдо 26 лв,NA,NA,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Банани ІІ,лв/КГ,3.4899999999999998,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Ябълка Айдере ІІ,лв/КГ,2.69,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Домат Розов II,лв/КГ,4.39,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Лимони,лв/КГ,4.89,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Домати Чери II,лв/КГ,6.49,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Картофи ІІ,лв/КГ,1.49,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Салата Айсберг бр,лв/БР,3.4899999999999998,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Портокали II,лв/КГ,2.8899999999999997,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Пресен Лук І,лв/БР,1.59,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Тиквички ІI,лв/КГ,1.8900000000000001,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Гъби 250гр Тарелка ІІ,лв/БР,2.4899999999999998,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Лук ІІ,лв/КГ,1.3900000000000001,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Диня ІІ,лв/КГ,0.7899999999999999,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Джинджифил,лв/КГ,9.99,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Лимон лайм бр.,лв/БР,0.99,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Домати ІI,лв/КГ,2.9899999999999998,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Ананас бр,лв/БР,3.6,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Червена Ябълка II,лв/КГ,2.79,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Зеле II,лв/КГ,1.79,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Пъпеш ІІ,лв/КГ,1.49,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Сладък Картоф,лв/КГ,6.99,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Пипер Червен І,лв/КГ,4.89,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Червени картофи II,лв/КГ,2.79,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Фурми без костилка Onix 350 гр,лв/БР,3.79,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Зеле Цветно І,лв/КГ,2.29,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Зелена Ябълка,лв/КГ,3.8899999999999997,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Кайсия II,лв/КГ,5.79,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Зелен Пипер ІI,лв/КГ,3.3899999999999997,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Магданоз І,лв/БР,0.99,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,Боб Бял ІІ,лв/КГ,5.99,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Плодове и зеленчуци,NA,NA,NA,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,от 0 лвдо 78 лв,NA,NA,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Пилешко филе крехко охладено,лв/КГ,16.79,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Свински език,лв/КГ,9.99,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Кебапче за Скара Охл. 50гр Наша Транжорна,лв/БР,0.65,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Кюфте за Скара Охл. 50гр Наша Транжорна,лв/БР,0.65,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Кренвирши Леки,лв/КГ,12.99,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Жарено Свинско Филе Майстор Цветко,лв/КГ,24.19,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Кюфте Домашно Охладено 60г Наша Транжорна,лв/БР,0.75,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Свински гърди с кост България охладени,лв/КГ,11.99,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,"Кебапчета за скара 560 гр, охладени",лв/БР,5.99,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Свински бут без кост България охладен,лв/КГ,10.99,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Жарено свинско филе слайс Еко Мес 130 гр.,лв/БР,4.99,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Суджук Телешки Орехите 160гр,лв/БР,8.99,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Шпек Бургас Орехите 230гр,лв/БР,7.49,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Свински Котлет България Охладен,лв/КГ,10.49,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Пуешки деликатес Браво слайс 180 гр,лв/БР,5.79,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Филе Елена КФМ резерва слайс 80гр,лв/БР,5.6899999999999995,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,"Пилешко парти бутче, охл.",лв/КГ,6.59,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Пилешка плешка,лв/КГ,5.99,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,"Кюфте домашно 480 гр, охладено",лв/БР,5.49,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Скариди Бланширани 60/80 Еквадор Охладени,лв/КГ,25.99,NA,NA,NA
2024-08-05,"Варна, Шумен, Търговище",BulMag,Месо и месни продукти,Сьомга пушена Mowi слайс 100 гр,лв/БР,8.99,NA,NA,NA
