date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,София,Gladen,Плодове и зеленчуци,Червени домати (1 кг),1 кг,3.79,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Розови домати (1 кг),1 кг,4.39,5.99,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Розови домати Ръгби (1 кг),1 кг,4.89,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Краставица (1 кг),1 кг,3.29,5.1899999999999995,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Корнишони (1 кг),1 кг,3.59,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,"Салата айсберг, калибър 10 (1 бр.)",1 бр.,3.59,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Зелена салата (1 бр.),1 бр.,2.19,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Зелена салата радичио (1 кг),1 кг,9.79,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Кромид лук (1 кг),1 кг,1.99,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Лук шалот мрежа (250 г),250 г,2.69,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Див лук (25 г),25 г,2.3899999999999997,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Чесън (1 кг),1 кг,14.09,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Репички (1 бр.),1 бр.,1.3900000000000001,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Чери домати (500 г),500 г,3.79,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Домати кумато (500 г),500 г,5.99,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Чери домати Кампари (250 г),250 г,2.69,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Чери домати Рома (250 г),250 г,2.19,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Чери домати микс (250 г),250 г,5.1899999999999995,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Чушки зелена капия (1 кг),1 кг,3.59,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Зелени чушки сиврия (1 кг),1 кг,4.6899999999999995,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Чушки червена капия (1 кг),1 кг,5.39,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,"Чушки червени, Калифорния (1 кг)",1 кг,9.19,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,"Чушки жълти, Калифорния (1 кг)",1 кг,9.19,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,"Чушки оранжеви, Калифорния (1 кг)",1 кг,9.19,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Чорбаджийски чушки (250 г),250 г,3.29,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Тиквички (1 кг),1 кг,1.6900000000000002,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,"Спанак, италиански (500 г)",500 г,7.09,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Бейби спанак (100 г),100 г,2.69,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,"Картофи, насипни (1 кг)",1 кг,1.6900000000000002,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Картофи мити (1 кг),1 кг,1.3900000000000001,1.99,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Картофи мрежа (2 кг),2 кг,4.39,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Сладки картофи (1 кг),1 кг,5.39,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Патладжан (1 кг),1 кг,2.4899999999999998,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Цвекло (1 кг),1 кг,2.19,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Варено червено цвекло (500 г),500 г,3.59,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Броколи (на килограм),1 кг,8.69,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Карфиол (1 кг),1 кг,3.59,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Зеле (1 кг),1 кг,1.29,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Зеле червено (1 кг),1 кг,3.09,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Брюкселско зеле (500 г),500 г,6.49,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Целина глава без листа (1 кг),1 кг,5.39,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Пащърнак (1 кг),1 кг,6.49,NA,NA,NA
2024-08-05,София,Gladen,Плодове и зеленчуци,Зелен фасул (500 г),500 г,4.89,NA,NA,NA
