date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,Цялата страна,Kaufland,Бакалия,"Lavash, Арменски хляб различни видове",240 - 320 г,2.29,2.69,- 14%,"(1 кг = 9,55)"
2024-08-05,Цялата страна,Kaufland,Бакалия,"7 DAYS, Миникроасани различни вкусове",185 г,2.9899999999999998,3.9899999999999998,- 25%,"(1 кг = 16,17)"
2024-08-05,Цялата страна,Kaufland,Бакалия,"Галена, Суха паста различни видове",50 г,0.35,0.65,- 46%,"(1 кг = 7,00)"
2024-08-05,Цялата страна,Kaufland,Бакалия,"Karuzo, Кремпита различни видове",82 г,1.1900000000000002,1.6900000000000002,- 29%,"(1 кг = 14,52)"
2024-08-05,Цялата страна,Kaufland,Бакалия,"Чабата, макси",300 г,0.99,1.99,-50%,"(1 кг = 3,30)"
2024-08-05,Цялата страна,Kaufland,Бакалия,"Фокача, с чубрица и маслини",150 г,0.69,0.99,- 30%,"(1 кг = 4,60)"
2024-08-05,Цялата страна,Kaufland,Бакалия,"Costa de Espana, Маслиново масло",1 л,12.99,14.99,- 13%,NA
2024-08-05,Цялата страна,Kaufland,Бакалия,"Nucrema, Какаов крем с лешници",600 г,4.99,6.99,- 28%,"(1 кг = 8,32)"
2024-08-05,Цялата страна,Kaufland,Бакалия,"COSTA D'ORO INTEGRALE, Маслиново масло",1 л,28.99,34.99,- 17%,NA
2024-08-05,Цялата страна,Kaufland,Бакалия,"Filippo Berio, Mаслиново масло екстра върджин",750 мл,19.99,29.99,- 33%,"(1 л = 26,66)"
2024-08-05,Цялата страна,Kaufland,Бакалия,"Filippo Berio, Песто различни видове",190 г,3.9899999999999998,5.49,- 27%,"(1 л = 21,00)"
2024-08-05,Цялата страна,Kaufland,Бакалия,"Costa D'oro, Биооцет балсамов",250 мл,4.6899999999999995,5.89,- 20%,"(1 л = 18,76)"
