date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,София,Морски дар,Риба,Лаврак 400/600 цял пресен,1кг,19.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Лаврак 1+, цял пресен",1кг,39.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Ципура 400/600 цяла прясна,1кг,17.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Ципура 1+ цяла прясна,1кг,29.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Фагри 600/1000 цяло прясно,1кг,25.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Фагри 1,00/ 1,50 цяло прясно",1кг,31.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Милокоп 1/2 цял пресен,1кг,17.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Сьомга 4/6 цяла почистена прясна,1кг,24.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Сьомга филе с кожа, прясно",1кг,34.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Лаврак 400/600 чистен пресен,1кг,23.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Пъстърва прясна,1кг,13.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Сьомга котлет, пресен",1кг,31.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Лаврак филе прясно,1кг,39.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Ципура филе прясно,1кг,37.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Пъстърва филе прясно,1кг,20.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Сьомгова пъстърва цяла чистена прясна,1кг,17.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Сьомгова пъстърва филе, прясно",1кг,25.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Миди Черни с черупка пресни,1кг,5.4,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Барбун черноморски пресен,1кг,9.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Змиорка цяла, морска прясна",1кг,10.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Кефал цял пресен,1кг,9.6,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Лефер Морски пресен,1кг,38.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Сафрид пресен,1кг,9.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Фриса /Сардина/ прясна,1кг,5.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Гаврос /Хамсия/ пресна,1кг,6.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Шаран жив (пресен),1кг,10.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Толстолоб цял пресен,1кг,4.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Толстолоб котлет пресен,1кг,10.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Толстолоб филе, прясно",1кг,14.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Сом Eвропейски жив (пресен),1кг,15.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Сом филе /Клариас/ прясно,1кг,25.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Есетра котлет,1кг,23.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Бакаляро (Хек) 500/800 чистено прясно,1кг,19.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Бяла риба мерлан, чистена прясна",1кг,11.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Треска чистена с глава, чистен",1кг,22.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Калкан, пресен 1/2",1кг,39.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Писия 600/1000,1кг,17.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Ред фиш, пресен",1кг,24.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Треска филе без кожа, охладено",1кг,19.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Нилски костур филе, охладено",1кг,23.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Пангасиус филе охладено,1кг,14.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Перки Ватос, охладени",1кг,22.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Риба Тон филе, охладено",1кг,41.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Филе Тилапия, охладено",1кг,21.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Калкан, пресен 2/3",1кг,39.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Лаврак 200/300 цял пресен,1кг,12,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Ципура 800/1000 цяла прясна,1кг,24.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Скариди Ванамей 40/50 с глава охладени,1кг,29.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Калмари Туби без глава чистени замразени 1кг.,1бр,13.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Калмари пипала гигас, замразени",1кг,16.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Калмари панирани шайби; 0.5кг,1бр,6.4,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Октопод 1/2 тарелка, замразен",1кг,29.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Октопод бейби, замразен 1кг.",1бр,19,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Октопод Пипала бланширани, замразени",1кг,89,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Тигрови скариди с глава 16/20, 1кг",1бр,32.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Коктейлни скариди белени 60/80, 0.5кг",1бр,12,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Тигрови скариди бланширани без глава изч. 16/20, 0.5кг",1бр,22,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Миди ядки, замразени",1кг,12,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Миди Сен Жак 10/20, замразени",1кг,79.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Миди Новозеландски 1/2 черупка, 1кг",1бр,24,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Лангостини 17/20, замразени",1кг,26.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Морски коктейл, 1кг. замразен",1бр,15.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Омар Американски варен, 0.350кг",1бр,27.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Хек филе без кожа, замразено",1кг,16.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Филе Тилапия, замразено 1кг",1бр,16.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Миди Бели Вонголи, 1кг",1бр,10.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Риба Меч филе 170/230г замразено,1кг,30,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Риба тон филе Sashimi порция 170/230г замаразено,1кг,45,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Халибут филе без кожа, замразено",1кг,39,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Скумрия филе (Морски Дар) замразена,1кг,11.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Акула филе без кожа,1кг,14.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Треска филе минтай /Alaska Pollock Fillet/ замразено, 1кг",1бр,6.8,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Сьомга филе пушено, 100гр.",1бр,7.5,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Пъстърва пушено филе, 125гр.",1бр,4.4,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"Паламуд пушено филе, 200гр.",1бр,6.5,NA,NA,NA
2024-08-05,София,Морски дар,Риба,"СКАРИДИ БЕЗ ГЛАВА С ОПАШКА 16/20 EASY PEEL, 1кг",1бр,30,NA,NA,NA
2024-08-05,София,Морски дар,Риба,Жабешки бутчета замразени,1кг,25.8,NA,NA,NA
