date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,София,Наслада,Бакалия,NA,NA,NA,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Селска Пилешка Супа MAGGI 46гр,NA,1.59,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Сос BARILLA Болонезе 400гр,NA,5.99,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Есенция Лимон ампули DR.OETKER,NA,1.95,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Сос BARILLA Песто Дженовезе 190гр,NA,6.1499999999999995,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Фикс за Пилешка Кавърма Picantina 37гр,NA,1.49,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Слънчогледово Олио КЛАС 1л,NA,5.99,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Сос Чили DERONI Класик 290мл,NA,2.3499999999999996,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Захар СЛАДЕЯ 1кг,NA,3.3499999999999996,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Подправка Picantina за Таратор и Салата ...,NA,1.49,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Картофено Пюре с Мляко MAGGI 125гр,NA,3.19,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Подправка Picantina за Картофи 30гр,NA,1.49,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Бахар Picantina 10гр,NA,0.7899999999999999,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Захар СЛАДЕЯ 500гр,NA,1.45,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Супа MAGGI Пилешка с Фиде 50гр,NA,1.59,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Супа MAGGI Топчета 40гр,NA,1.59,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Супа MAGGI Гъбена 50гр,NA,1.45,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Фикс MAGGI за Мусака 38гр,NA,1.75,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Слънчогледово Олио РАДОСТ 1л,NA,6.49,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Фикс MAGGI за Пълнени Чушки 40гр,NA,1.75,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Фикс MAGGI за Пържени Кюфтета 57гр,NA,1.6500000000000001,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,NA,NA,NA,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Фикс MAGGI за Винен Кебап 38гр,NA,1.6500000000000001,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Фикс MAGGI за Пилешка Кавърма 36гр,NA,1.75,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Фикс MAGGI Пиле Четири Сирена 32гр,NA,1.75,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Фикс MAGGI Спагети Карбонара 37гр,NA,1.79,NA,NA,NA
2024-08-05,София,Наслада,Бакалия,Фикс MAGGI Спагети Болонезе 50гр,NA,1.79,NA,NA,NA
