date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,София,Randi,Месо и месни продукти,Печена шунка Тандем слайс 160гр.,1 бр.,8.99,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Пушен свински врат Златиборац 125гр.,1 бр.,5.39,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Шунка тост - нарязана Меско 190гр.,1 бр.,4.55,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Свинско филе нарязано Меско 190гр.,1 бр.,6.29,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Занаятчийско филе слайс Меско 100гр.,1 бр.,5.6899999999999995,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Шунка печена КФМ Sliced 120гр.,1 бр.,4.79,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Шунка Виенска КФМ Sliced 120гр.,1 бр.,4.79,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Филе пуешко КФМ Sliced 120гр.,1 бр.,4.79,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Шунка бекон Меско 190гр.,1 бр.,5.89,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Свински бут нарязан Меско 190гр.,1 бр.,5.89,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Шунка Ветчина Казачок 350гр.,1 бр.,8.9,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Шунка Виенска слайс Тандем 160гр.,1 бр.,8.99,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Пилешко роле Меско 270гр.,1 бр.,7.6899999999999995,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Варено-пушен бекон Деликатес Житница слайс 200 гр.,1 бр.,4.29,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Пуешка шунка Тандем слайс 130гр.,1 бр.,8.99,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Пушено свинско контрафиле Златиборац 125гр.,1 бр.,4.59,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Чешка шунка Тандем 160гр.,1 бр.,8.99,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Жарено свинско филе Еко Мес 130гр.,1 бр.,5.89,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Пражка шунка Деликатес Житница слайс 200 гр.,1 бр.,4.29,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,"Жарени свински ребра Кен 19,99 лв/кг",1.000 кг.,19.99,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Занаятчийски врат слайс Меско 100гр.,1 бр.,6.4,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Свински бут варено-пушен вакуум Браво 200гр.,1 бр.,6.39,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Свинско филе варено-пушено вакуум Браво 200гр.,1 бр.,7.1899999999999995,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Бекон Премиум варено-пушен вакуум Браво 180гр.,1 бр.,7.49,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Пуешки деликатес варено-пушен вакуум Браво 180гр.,1 бр.,5.79,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Пуешко филе от бяло месо вакуум Браво 180гр.,1 бр.,6.29,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Свинска шунка варена Баварио вакуум Браво 160гр.,1 бр.,6.29,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Свинска шунка пушена Хамона вакуум Браво 160гр.,1 бр.,6.29,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Прошуто Крудо Motta 100гр.слайс,1 бр.,6.99,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Прошуто Котто Motta 100гр.слайс,1 бр.,5.29,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Мортадела Motta 100гр.слайс,1 бр.,4.49,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Шунка Тандем 300гр.,1 бр.,5.99,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Пуешко филе Орехите слайс 100 гр.,1 бр.,4.49,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Пушен бекон Орехите слайс 120 гр.,1 бр.,5.1899999999999995,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Свински врат варено-пушен вакуум Браво 200гр.,1 бр.,7.1899999999999995,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Пуешко филе нарязано Меско 190гр.,1 бр.,4.55,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Пушен Бекон Орехите 180 гр.,1 бр.,6.59,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Пуешки деликатес Орехите 180 гр.,1 бр.,5.79,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Шунка Виенска слайс КФМ 160гр.,1 бр.,5.79,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Шунка Медена слайс Тандем 160гр.,1 бр.,8.99,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Шунка от пуешко филе слайс 160 гр.КФМ,1 бр.,5.79,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Шунка класик Тандем слайс 200гр.,1 бр.,8.99,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Бекон Тандем плочка 200 гр.,1 бр.,8.59,NA,NA,NA
2024-08-05,София,Randi,Месо и месни продукти,Свинско филе жарено Тандем 27.99лв/кг,0.300 кг.,8.4,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза Hellmann`s Original 210мл. 199гр.,1 бр.,5.99,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза Класик със слънчогледово олио Lesieur 235гр.,1 бр.,3.9899999999999998,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Яйца Медковец Клас А размер L 10бр.,1 бр.,4.1899999999999995,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Яйца Медковец Клас А размер L 6бр.,1 бр.,2.4899999999999998,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза Hellmann`s Original саше 100мл.,1 бр.,2.25,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза класическа Maggi 235гр. буркан(Н),1 бр.,4.29,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Яйца Иверта Клас А размер L 10бр.,1 бр.,3.9,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза Провансалска Жирновъ 400гр.,1 бр.,4.59,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Яйца от свободни кокошки Ангелов L размер 6бр.,1 бр.,3.8899999999999997,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Яйца пъдпъдъчи Овио 12 бр. кутия,1 бр.,4.6899999999999995,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Яйца Аградо ферма Аквилон-Ам Клас А разм. XL- 6бр.,1 бр.,2.69,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза Hellmann`s Original 405мл. 384гр.,1 бр.,8.79,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза Hellmann`s Light 405мл. 413гр.,1 бр.,8.79,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза мека и фина Lesieur 235гр.,1 бр.,3.9899999999999998,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза лека Lesieur 235гр.,1 бр.,4.6,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза Премиум Олинеза 250гр.,1 бр.,3.29,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза Краси 200гр.,1 бр.,2.29,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза Олинеза пушена 125гр.,1 бр.,1.1900000000000002,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза с краставички Олинеза 125гр.,1 бр.,1.1900000000000002,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Яйца ферма Багрянка Клас А разм. L- 6бр.,1 бр.,4.09,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Яйца L размер кора 30бр. Агроинвест кафяви,1 бр.,11.99,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Яйца от пъдпъдъци варени и белени Garry гр.Етрополе 300гр.,1 бр.,9.4,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Веган майонеза Олинеза 230гр.,1 бр.,3.19,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза Краси със зехтин 250 гр.,1 бр.,5.8,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Яйца Бели Ангелов М размер 15бр.,1 бр.,8.49,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Био яйца свободно отглеждани Harmonica 6 бр.,1 бр.,7.6899999999999995,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза топено сирене Олинеза 125гр.,1 бр.,1.1900000000000002,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза с чесън Олинеза 125гр.(Н),1 бр.,1.1900000000000002,NA,NA,NA
2024-08-05,София,Randi,Мляко и млечни продукти,Майонеза млечна Олинеза 125гр.,1 бр.,1.1900000000000002,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,Рулца от раци Universal Food 250гр.,1 бр.,2.3899999999999997,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,Рулца от раци Сурими Vici замразени 150гр.,1 бр.,2.29,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,Шпроти замразени Ариел Фиш 500гр.,1 бр.,2.9899999999999998,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,"Акула котлет замразен Ариел Фиш 19,19лв/кг",0.500 кг.,9.6,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,Морски микс Premium Vici 400 гр. замразен,1 бр.,9.99,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,Набор за супа от сьомга Vici 800 гр.,1 бр.,6.59,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,Ролца от раци Сурими Vici замразени 250гр.,1 бр.,3.8899999999999997,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,Рулца от раци Columbus 250гр.,1 бр.,3.1,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,Калмари Джъмбо панирани рингове 500 гр.,1 бр.,6.1899999999999995,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,Ролца от Раци Сурими Vici 100гр. охладени,1 бр.,1.99,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,Замразени рибни пръстчета Columbus 250гр.,1 бр.,3.29,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,Шпроти замразени Морски риболов 500гр.,1 бр.,2.59,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,Риба Хек Филе без кожа замразена - Аржентина,1.000 кг.,15.89,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,"Скумрия филе Ариел Фиш 18,60лв./кг. замразена",0.700 кг.,13.02,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,Риба Хек почистен замразен Danel 97,1.500 кг.,11.239999999999998,NA,NA,NA
2024-08-05,София,Randi,Замразени храни,Риба Хек филе замразено Danel 97,1.000 кг.,11.59,NA,NA,NA
