date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,Русе,Rusebag,Бакалия,NA,NA,NA,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,МАКАРОНИ ANKARA 500 ГР,/1 бр,1.99,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,МАКАРОНИ ФИЛИЗ 500 ГР TEL SEHRIYE,/1 бр,2.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,МАКАРОНИ ФИЛИЗ 500 ГР SPAGETTI,/1 бр,2.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,МАКАРОНИ ФИЛИЗ 500 ГР ARPA SEHRIYE,/1 бр,2.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,МАКАРОНИ ФИЛИЗ 500 ГР BONCUK,/1 бр,2.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,МАКАРОНИ ФИЛИЗ 500 ГР ЕRISTE,/1 бр,2.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,МАКАРОНИ ФИЛИЗ 500 ГР KALEM,/1 бр,2.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,МАКАРОНИ ФИЛИЗ 500 ГР DIRSEK,/1 бр,2.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,МАКАРОНИ ФИЛИЗ 500 ГР FIYONK,/1 бр,2.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,МАКАРОНИ ФИЛИЗ 500 ГР INCE UZUN,/1 бр,2.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,МАКАРОНИ ФИЛИЗ 500 ГР КЕLEBEK,/1 бр,2.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,МАКАРОНИ ФИЛИЗ 500 ГР BURGU,/1 бр,2.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,МАКАРОНИ ФИЛИЗ 500 ГР MANTI,/1 бр,2.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,МАКАРОНИ ФИЛИЗ 500 ГР YUKSUK,/1 бр,2.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Ипек Доматено и Чушко Пюре Микс 360гр,/1 бр,7.39,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,чипс ПАТИТО с подправки 90гр.,/1 бр,2.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,ПАТИТО чипс с йогурт и подправки 90гр.,/1 бр,2.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Патито чипс търтъклъ класик 150гр.Натурален,/1 бр,2.79,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Башхан Боб Мунг 500гр,/1 бр,2.8899999999999997,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Макарони Оба Арпа 400гр,/1 бр,1.6900000000000002,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,NA,NA,NA,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Макарони Оба Кус кус 400гр,/1 бр,1.6900000000000002,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Оба макарони Фарфале 400гр,/1 бр,1.6900000000000002,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Конфитюр Къпини Сеидоглу 380гр,/1 бр,4.39,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Конфитюр Смокиня Сеидоглу 380гр,/1 бр,4.39,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Конфитюр Праскови 380гр Сеидоглу,/1 бр,4.39,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Конфитюр Дюля Сеидоглу 380гр,/1 бр,4.39,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Конфитюр Ягоди Сеидоглу 380гр,/1 бр,4.39,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Дестан кори 360гр дълги,/1 бр,3.69,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Смесена Туршия Еркан 2300кг,/1 бр,10.49,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Чипсо йогурт 100гр,/1 бр,2.3899999999999997,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Балсамов оцет Грийнвайн 250мл,/1 бр,3.8899999999999997,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Зехтин Дестан 1л,/1 бр,16.49,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Гарнитура Тукаш 340гр,/1 бр,2.9899999999999998,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Печени чушки Тукаш 350гр,/1 бр,4.29,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Печен патладжан Тукаш 335гр,/1 бр,2.79,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Червен боб в доматен сос Юрем 200гр,/1 бр,3.3899999999999997,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Мариновани люти чушки Тукаш дълги 190гр,/1 бр,5.49,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Юрем чушково пюре 1650гр,/1 бр,11.49,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,NA,NA,NA,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Юрем Сварен боб 800гр,/1 бр,3.09,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Тукаш мешена туршия 680гр,/1 бр,4.79,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Тукаш печен патладжан 650гр,/1 бр,6.1899999999999995,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Лимонов Сок Дестан 1л,/1 бр,3.9899999999999998,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Сохбет Адана Чий Кюфте люта 340гр,/1 бр,4.99,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Ипек доматено пюре 370 гр.,/1 бр,4.79,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Тукаш лозови сърми 400гр,/1 бр,4.99,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Тукаш лозови сърми 200гр,/1 бр,1.99,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Ети Солети с Кашкавал и лук 50гр,/1 бр,0.99,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Ети солети Чили и Лайм 50гр,/1 бр,0.99,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Инстанти Спагетини ОБА 75гр Телешко,/1 бр,0.99,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Туршия от цвекло Чичек 720гр,/1 бр,4.29,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Туршия от моркови Чичек 720гр,/1 бр,2.9899999999999998,NA,NA,NA
2024-08-05,Русе,Rusebag,Бакалия,Подправка Бахар 40гр,/1 бр,1.8900000000000001,NA,NA,NA
