date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,Цялата страна,Shop24,Бакалия,Сос Пица и паста Deroni 325g,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Соев сос Класик Deroni 250ml,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Фини точени кори BELLA 400g,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Зехтин Pomace Del Alma 500 ml,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Винен оцет 6% Del Alma 700ml,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Лимонов сок 14% Galaxy 250ml,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Брускети MARETTI Микс сирена 70g,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Кубети Кетчуп 35g,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Сухари Finn Crisp Оригинал Ръжени тънки 200g,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Bake Rolls Натурален 80g,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Дресинг Френски Kuhne 250ml,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Брашно пшенично тип 500 София мел 1kg,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Пудинг Шоколад Dr. Oetker 50g,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Сос Barilla Песто сицилиански 190g,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Качамак Oberon 400g,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Сос VitaL за КАРТОФКИ 260g,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Сос VitaL Дюнер и скара 260g,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,ГРИС FIORRE ПШЕНИЧЕН 500g,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Корнфлейкс Шоколад без глутен 450g Nestle,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Кетчуп Класик Deroni 1kg,NA,NA,NA,NA,NA
2024-08-05,Цялата страна,Shop24,Бакалия,Болярски сос Deroni 325g,NA,NA,NA,NA,NA
