date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ДИНЯ 100ГР.,NA,0.07,0.11,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,КРАСТАВИЦИ 100ГР.,NA,0.5700000000000001,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ПЪПЕШ 100ГР.,NA,0.17,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ДОМАТИ 100ГР.,NA,0.33999999999999997,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ДОМАТИ РОЗОВИ 100ГР.,NA,0.48000000000000004,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,КАЙСИЯ 100ГР.,NA,0.48000000000000004,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ДОМАТИ ЧЕРИ 100ГР.,NA,0.58,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ПРАСКОВИ 100ГР.,NA,0.39,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,НЕКТАРИНА 100ГР.,NA,0.41000000000000003,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ПРЕСНИ КАРТОФИ 100ГР.,NA,0.15000000000000002,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,КАПИЯ ЗЕЛЕНА 100ГР.,NA,0.3,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ЯБЪЛКИ ЖЪЛТИ 100ГР.,NA,0.3,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ЧУШКА КАПИЯ ЧЕРВЕНА 100ГР.,NA,0.5,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ЧУШКИ СИВРИЯ 100ГР.,NA,0.46,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ЯБЪЛКИ ЧЕРВЕНИ 100ГР.,NA,0.3,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,КРУШИ 100ГР.,NA,0.5,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ЧУШКА ЗА ПЪЛНЕНЕ ЗЕЛЕНА 100ГР.,NA,0.37,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ЧУШКИ ЧЕРВЕНИ 100ГР.,NA,0.38,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,,NA,NA,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,БАНАНИ 100ГР.,NA,0.37,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ПОРТОКАЛ ПЪРВО КАЧЕСТВО 100ГР.,NA,0.29000000000000004,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ГРЕЙПФРУТ 100ГР.,NA,0.46,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ГЪБИ-ТАРЕЛКА 250ГР,NA,3.29,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,КИВИ 100ГР.,NA,0.8600000000000001,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ЛИМОНИ 100ГР.,NA,0.44,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ЛУК ПРЕСЕН,NA,1.6500000000000001,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ПОМЕЛО 100ГР.,NA,0.47000000000000003,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ЧЕСЪН ПРЕСЕН,NA,2.19,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,МАГДАНОЗ,NA,0.7899999999999999,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,АВОКАДО 100ГР.,NA,1.29,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,КОПЪР,NA,0.89,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,МАНГО 100ГР.,NA,1.1500000000000001,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,АЙСБЕРГ 100ГР.,NA,0.55,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ЗЕЛЕ БЯЛО 100ГР.,NA,0.16,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,АНАНАС 100ГР.,NA,0.45,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,БРОКОЛИ 100ГР.,NA,1.1500000000000001,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ЛУК БЯЛ 100ГР.,NA,0.17,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,,NA,NA,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,НАР 100ГР.,NA,1.47,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ЛУК ЧЕРВЕН 100ГР.,NA,0.25,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ЧЕСЪН СТАР 100ГР.,NA,0.9,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ЛЮТИ ЧУШКИ 100ГР.,NA,0.5,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,МОРКОВИ 100ГР.,NA,0.16,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ТИКВИЧКИ 100ГР.,NA,0.19,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ПАТЛАДЖАНИ 100ГР.,NA,0.19,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,КОРЕНИ ОТ ДЖИНДЖИФИЛ 100ГР.,NA,1.34,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,РЯПА ЧЕРНА 100ГР.,NA,0.22,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,ЦВЕКЛО ЧЕРВЕНО 100ГР.,NA,0.24000000000000002,NA,NA,NA
2024-08-05,Пловдив,Superbag,Плодове и зеленчуци,,NA,NA,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,МИО ХЛЯБ ПЪЛНОЗЪРНЕСТ 600ГР С КВАС,NA,1.72,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,МИО ХЛЯБ ТИПОВ 600ГР ЗДРАВЕ НАРЯЗАН,NA,1.55,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,МИО ХЛЯБ МНОГОЗЪРНЕСТ 600ГР ТОСТ,NA,1.72,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,МИО ХЛЯБ БЯЛ 650ГР КНИЖЕН ПЛИК НАРЯЗАН,NA,1.55,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,МИО ХЛЯБ ТИПОВ 650ГР НАРЯЗАН,NA,1.55,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,МИО ХЛЯБ СТАРА ЗАГОРА 650ГР НАРЯЗАН,NA,1.55,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,МИО ХЛЯБ 350ГР ЛИМЕЦ,NA,1.99,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,МИО ХЛЯБ 350ГР МНОГОЗЪРНЕСТ ТОСТ,NA,1.29,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,МИО ХЛЯБ 350ГР ЦАРЕВИЧЕН,NA,1.29,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,МИО ХЛЯБ 350ГР ГРАХАМ,NA,1.29,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,МИО ХЛЯБ 350ГР РЪЖЕНО ПШЕНИЧЕН ТОСТ,NA,1.29,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,МИО ХЛЯБ 350ГР 103 ЗЪРНА,NA,1.29,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,РИТЪРН СУСАМЕНА ПИТКА 600ГР,NA,1.6900000000000002,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,БАКЕРИ БАЗЛАМА 300ГР,NA,1.6900000000000002,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,СИМИД ХЛЯБ 650ГР НАРЯЗАН,NA,1.55,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,СИМИД ХЛЯБ 600ГР ЗРЪНКО,NA,1.9,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,СИМИД ХЛЯБ 650ГР ЗДРАВЕ,NA,1.75,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,СИМИД ХЛЯБ 500ГР ЕНЕРГИЯ,NA,2.1,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,,NA,NA,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,СИМИД ХЛЯБ 550ГР ТОСТЕР,NA,1.72,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,СИМИД ХЛЯБ 650ГР ТИПОВ ЗАВОДСКИ,NA,1.55,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,СИМИД ХЛЯБ ЖИВЕНА 350ГР С ОРЕХИ И ПШ. ЗЪРНА,NA,3.08,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,СИМИД ХЛЯБ ЖИВЕНА 330ГР СЛЪНЧОГЛЕД И ЧИЯ,NA,2.29,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,СИМИД ХЛЯБ ЖИВЕНА 350ГР СЪС СЕМЕНА ОТ ТИКВА И СЛЪНЧОГЛЕД,NA,2.29,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,СИМИД ХЛЯБ ЖИВЕНА 350ГР ЕЛДА И ОВЕС,NA,2.29,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,СИМИД ХЛЯБ ЖИВЕНА 350ГР 5 ВИДА СЕМЕНА,NA,2.29,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,БРЕД ХЛЯБ 400ГР ВИТА СИЛУЕТ КЛАСИК,NA,2.9899999999999998,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,БРЕД ХЛЯБ 400ГР ВИТА СИЛУЕТ С 6 ЗЪРНА,NA,2.9899999999999998,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,БРЕД ХЛЯБ 400ГР ВИТА СИЛУЕТ С КЪЛНОВЕ И ЗАРОДИШ,NA,2.9899999999999998,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,БРЕД ХЛЯБ 400ГР ВИТА ФИТНЕС,NA,3.8499999999999996,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,БРЕД ХЛЯБ 400ГР ВИТА СИЛУЕТ С ЕЛДА,NA,2.9899999999999998,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,БРЕД ХЛЯБ 450ГР ВИТА БАЛАНС ПЪЛНОЗЪРНЕСТ С 9 ЗЪРНА,NA,2.9899999999999998,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,ДОБРУДЖАНСКИ ХЛЯБ 500ГР ПЪЛНОЗЪРНЕСТ С ЛИМЕЦ,NA,2.3,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,ДОБРУДЖАНСКИ ХЛЯБ 500ГР ПЪЛНОЗЪРНЕСТ МНОГОЗЪРНЕСТ,NA,2.3,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,ДОБРУДЖАНСКИ ХЛЯБ 550ГР РЪЖЕНО-ПШЕНИЧЕН ПЪЛНОЗ.,NA,1.99,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,ДОБРУДЖАНСКИ ХЛЯБ ХЛЯБ 550ГР БАВАРСКИ ПЪЛНОЗЪРНЕСТ,NA,1.99,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,НАКОВ ПИТКИ 280ГР,NA,1.3900000000000001,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,,NA,NA,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,НАКОВ ФРАНЗЕЛА ЦАРЕВИЧНА 200ГР,NA,1.29,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,НАКОВ ХЛЯБ 1/2 320ГР,NA,0.88,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,НАКОВ ХЛЯБ СТАРА ЗАГОРА 650ГР,NA,1.6600000000000001,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,РИТЪРН ХЛЯБ 400ГР СЛЪНЧОГЛЕДОВ С МЮСЛИ,NA,2.05,NA,NA,NA
2024-08-05,Пловдив,Superbag,Брашно и хляб,РИТЪРН ХЛЯБ 500ГР ГРАХАМ ПЪЛНОЗЪРНЕСТ,NA,1.95,NA,NA,NA
