date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,Русе,Taraba,Плодове и зеленчуци,NA,NA,NA,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,100 гр. (3 бр.) Чесън,0.10 кг.,0.9,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Моркови,0.50 кг.,1.45,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,1 бр. връзка Зелен лук,,1.55,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Лук,0.50 кг.,1.6,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,1 бр. връзка Магданоз,,1.7,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Портокали,0.50 кг.,1.7,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,1 бр. връзка Репички,,1.75,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,1 бр. Зелена салата,,1.8,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,1 бр. връзка Копър,,1.9,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Червено цвекло,0.50 кг.,2,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Мандарини,0.50 кг.,2.1,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Банани,0.50 кг.,2.2,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Зелени ябълки,0.50 кг.,2.2,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Червени ябълки,0.50 кг.,2.2,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Ябълки жълти,0.50 кг.,2.2,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Лимони,0.50 кг.,2.3,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Тиквички,0.50 кг.,2.7,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,1 кг. картофи,1.00 кг.,2.8,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Домати,0.50 кг.,2.8,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Кайсии,0.50 кг.,2.8,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Краставици,0.50 кг.,2.8,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Круши,0.50 кг.,2.8,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Червен лук,0.50 кг.,2.8,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Патладжан,0.50 кг.,3,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,NA,NA,NA,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Спанак,0.50 кг.,3.2,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Зелен пипер,0.50 кг.,3.25,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Розови домати,0.50 кг.,3.4,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. чери домати,0.50 кг.,3.5,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,2 кг. Зеле,2.00 кг.,3.8,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Червен пипер,0.50 кг.,3.8,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. бяло грозде,0.50 кг.,4.05,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Грозде червено,0.50 кг.,4.05,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,1 кг. Пъпеш,1.00 кг.,4.99,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,500 гр. Гъби Печурки,0.50 кг.,5.05,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,Праз лук - 3 бр. връзка,,6,NA,NA,NA
2024-08-05,Русе,Taraba,Плодове и зеленчуци,1 кг. Броколи,1.00 кг.,9,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,NA,NA,NA,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,200 гр. Перла кутийка,,2.3,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,500 гр. салака замразена Мичик,0.50 кг.,2.4,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,1 кг. Пилешки шийки пакет замразени,1.00 кг.,2.5,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,180 гр. Маринована трицона кутийка,,2.5,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,500 г. Замразена трицона/шпроти пакет,0.50 кг.,2.5,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,0.200 гр. Пикантна сланина Стефанов,0.20 кг.,2.7,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,500 гр. Пилешки Бут тарелка Амета замразен,0.50 кг.,3.25,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,240 гр. Домашни кюфтенца Майстор Цветко,,3.69,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,2 бр. Плескавица Иво замразена,,3.88,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,250 гр. Пресен телешки суджук Бозмов,0.30 кг.,4.4,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,250 г. Скумрия пушена цяла,0.25 кг.,4.6,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,250 гр. Скумрия веяна цяла,0.25 кг.,4.6,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,300 гр. сланина трикольор Еко мес,0.30 кг.,4.859999999999999,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,500 г. Кайма обикновенна Иво замразена,0.50 кг.,4.9,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,400 гр. чибапче замразено 5 х 80 гр. Жар,,5.4,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,500 г. Кайма домашна Иво замразена,0.50 кг.,5.6,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,8х70 гр. НАРОДНО Кюфте замразено,,5.85,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,8х70 гр. НАРОДНО Кебапче замразено,,6,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,500 г. Прясна наденица Иво замразена,0.50 кг.,7,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,720 гр. грил наденица Пиле дюнер замразена 6 х 120 гр. Жар,,8.98,NA,NA,NA
2024-08-05,Русе,Taraba,Месо и месни продукти,Скумрия замразена пакет х 2 бр Мичик 1 кг.,0.90 кг.,10.2,NA,NA,NA
