date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Диня, кг",6 кг,0.69,1.49,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Картофи, кг",1.00 кг.,0.7899999999999999,1.59,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Пъпеш деликатесен, кг",1.50 кг.,1.59,3.29,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Сини сливи, България, кг",1.00 кг.,1.59,2.59,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Пъпеш, кг",кг,1.59,3.4899999999999998,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Патладжани, кг",1.00 кг.,1.6900000000000002,2.9899999999999998,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Чушки зелени, кг",0.500 кг.,1.99,3.9899999999999998,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Ябълки златни, кг",1.00 кг.,1.99,2.9899999999999998,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Нектарини, кг",1.00 кг.,2.4899999999999998,2.9899999999999998,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Краставици, кг",1 кг,2.79,4.49,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Лимони, кг",0.50 кг.,2.9899999999999998,3.9899999999999998,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Розови домати, кг",кг,2.9899999999999998,3.9899999999999998,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Сънчогледови семки AYA със сол 400 г,NA,3.19,3.9899999999999998,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Грозде бяло, кг",1.00 кг.,3.59,3.8899999999999997,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Парти ядки AYA 500 г,NA,4.79,5.99,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Печен и солен фъстък AYA 500 г,NA,5.24,6.55,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Сос BARILLA с маслини 400гр,NA,5.48,6.85,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Фъстък AYA бирен 500 гр,NA,5.56,6.95,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Фъстък AYA печен белен с морска сол 500 г,NA,5.59,6.99,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Фъстък AYA паприка 500 г,NA,5.59,6.99,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,"Маслини BLOND размер 180 - 230, кг.",кг,5.99,10.99,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Маслини черни супериор на кг.,кг,6.99,9.99,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Микс AYA печен 500 г,NA,13.59,16.99,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Микс AYA суров червена боровинка 500 г,NA,13.59,16.99,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Микс AYA салатен сурови ядки 500 г,NA,13.59,16.99,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Бадем AYA суров 500 г,NA,14.2,17.75,NA,NA
2024-08-05,Цялата страна,T MARKET,Плодове и зеленчуци,Печен лешник AYA 500 г,NA,15.19,18.99,NA,NA
