date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,Варна,Trista,Плодове и зеленчуци,АВОКАДО КГ,NA,1.1,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,БАНАНИ 100 ГР.,NA,0.35,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ГРЕЙПФРУТ КГ,NA,0.4,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,КИВИ КГ,NA,0.3,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ЛИМОНИ КГ,NA,0.29000000000000004,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ПОРТОКАЛИ КГ,NA,0.48000000000000004,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ЯБЪЛКИ 100 ГР.,NA,0.27,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ГЪБИ ТАРЕЛКА 250 ГР.,NA,3.09,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ДЖИНДЖИФИЛ КГ,NA,1.1900000000000002,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ДОМАТИ КГ,NA,0.43000000000000005,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ДОМАТИ РОЗОВИ КГ,NA,0.5700000000000001,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ЗЕЛЕ КГ,NA,0.15000000000000002,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,КАРТОФИ КГ,NA,0.2,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,КАРТОФИ ПРЕСНИ КГ,NA,0.23,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,КРАСТАВИЦИ КГ,NA,0.4,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ЛУК СУХ 100 ГР.,NA,0.19,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ЛУК ЧЕРВЕН СУХ КГ,NA,0.3,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,МОРКОВИ КГ,NA,0.2,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ПАТЛАДЖАН КГ,NA,0.19,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ПИПЕР ЗЕЛЕН КГ,NA,0.22,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ПИПЕР ЧЕРВЕН КГ,NA,0.29000000000000004,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ТИКВИЧКИ КГ,NA,0.35,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ЧЕСЪН СУХ КГ,NA,0.73,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ЧУШКИ ЛЮТИ КГ,NA,0.5,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,КОПЪР ВРЪЗКА БР.,NA,1.29,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ЛУК ВРЪЗКА БР.,NA,0.99,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,МАГДАНОЗ ВРЪЗКА БР.,NA,0.89,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,САЛАТКИ ПРЕСНИ БР.,NA,1.6900000000000002,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,БОРОВИНКА ДАНИ 70ГР,NA,2.4899999999999998,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,ЗЛАТНА СТАФИДА ДАНИ 70ГР,NA,1.1900000000000002,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,"СУШЕН МИКС КАЙСИЯ,СЛИВА,ФУРМА,СМОКИНЯ ДАНИ 200ГР",NA,3.9,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,СУШЕНИ СЛИВИ БЕЗ КОСТИЛКА ДАНИ 200ГР,NA,3.9,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,СУШЕНИ ФУРМИ БЕЗ КОСТИЛКА ДАНИ 250ГР,NA,2.6,NA,NA,NA
2024-08-05,Варна,Trista,Плодове и зеленчуци,СУШЕНИ СЛИВИ БЕЗ КОСТИЛКА ЕЛИТ 150ГР,NA,4.59,NA,NA,NA
