date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,София,VMV,Плодове и зеленчуци,Краставица Корнишон България,NA,3.59,NA,NA,3.59
2024-08-05,София,VMV,Плодове и зеленчуци,Пъпеш Гърция,NA,4.34,NA,NA,2.89
2024-08-05,София,VMV,Плодове и зеленчуци,Чесън България,NA,11.09,NA,NA,11.09
2024-08-05,София,VMV,Плодове и зеленчуци,Краставица Гергана България,NA,6.49,NA,NA,6.49
2024-08-05,София,VMV,Плодове и зеленчуци,Лук червен България,NA,3.29,NA,NA,3.29
2024-08-05,София,VMV,Плодове и зеленчуци,Тиквичка България,NA,1.99,NA,NA,1.99
2024-08-05,София,VMV,Плодове и зеленчуци,Домат Чери Кампари Гърция,NA,5.84,NA,NA,6.49
2024-08-05,София,VMV,Плодове и зеленчуци,Картоф България,NA,1.6900000000000002,NA,NA,1.69
2024-08-05,София,VMV,Плодове и зеленчуци,Морков България,NA,1.96,NA,NA,1.96
2024-08-05,София,VMV,Плодове и зеленчуци,Чушки Капия червена България,NA,6.49,NA,NA,6.49
2024-08-05,София,VMV,Плодове и зеленчуци,Лук воден България,NA,1.79,NA,NA,1.79
2024-08-05,София,VMV,Плодове и зеленчуци,Мандарина Гърция,NA,6.49,NA,NA,6.49
2024-08-05,София,VMV,Плодове и зеленчуци,Чушки Капия зелена България,NA,2.9899999999999998,NA,NA,2.99
2024-08-05,София,VMV,Плодове и зеленчуци,Батати Турция,NA,7.29,NA,NA,7.29
2024-08-05,София,VMV,Плодове и зеленчуци,Гъба Печурка България,NA,8.99,NA,NA,8.99
2024-08-05,София,VMV,Плодове и зеленчуци,Праскова Гърция,NA,4.09,NA,NA,4.09
2024-08-05,София,VMV,Плодове и зеленчуци,Айсберг Гърция,NA,4.67,NA,NA,7.79
2024-08-05,София,VMV,Плодове и зеленчуци,Патладжан България,NA,2.29,NA,NA,2.29
2024-08-05,София,VMV,Плодове и зеленчуци,Карфиол Гърция,NA,7.29,NA,NA,7.29
2024-08-05,София,VMV,Плодове и зеленчуци,Краставици България,NA,5.39,NA,NA,5.39
2024-08-05,София,VMV,Плодове и зеленчуци,Банан Еквадор,NA,3.69,NA,NA,3.69
2024-08-05,София,VMV,Плодове и зеленчуци,Салата Зелена България,NA,2.19,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,"Гъба тарелка бяла печурка 0,250 България",NA,3.29,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Кумкуат Испания,NA,32.49,NA,NA,32.49
2024-08-05,София,VMV,Плодове и зеленчуци,Картоф червен България,NA,4.29,NA,NA,4.29
2024-08-05,София,VMV,Плодове и зеленчуци,Зеле България прясно,NA,1.79,NA,NA,1.19
2024-08-05,София,VMV,Плодове и зеленчуци,Гъба Печурка кралска България,NA,11.39,NA,NA,11.39
2024-08-05,София,VMV,Плодове и зеленчуци,Кайсия Гърция,NA,6.1899999999999995,NA,NA,6.19
2024-08-05,София,VMV,Плодове и зеленчуци,Портокал Гърция,NA,7.6899999999999995,NA,NA,7.69
2024-08-05,София,VMV,Плодове и зеленчуци,Диня Гърция,NA,4.17,NA,NA,1.39
2024-08-05,София,VMV,Плодове и зеленчуци,Джинджер Гърция,NA,4.17,NA,NA,13.89
2024-08-05,София,VMV,Плодове и зеленчуци,Домат розов Екстра,NA,4.89,NA,NA,4.89
2024-08-05,София,VMV,Плодове и зеленчуци,Лимон Турция,NA,3.8899999999999997,NA,NA,3.89
2024-08-05,София,VMV,Плодове и зеленчуци,Царевица България,NA,1.35,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Декоративнен ананас и кумкуат,NA,59.99,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Манго Аеро Перу,NA,24.35,NA,NA,40.59
2024-08-05,София,VMV,Плодове и зеленчуци,Чушки люти Рибка България,NA,0.59,NA,NA,5.89
2024-08-05,София,VMV,Плодове и зеленчуци,Чушки люти Халапеньо Испания,NA,1.6300000000000001,NA,NA,16.29
2024-08-05,София,VMV,Плодове и зеленчуци,Цвекло България,NA,2.29,NA,NA,2.29
2024-08-05,София,VMV,Плодове и зеленчуци,Нар Турция,NA,24.39,NA,NA,24.39
2024-08-05,София,VMV,Плодове и зеленчуци,Ябълка жълта Гърция,NA,4.59,NA,NA,4.59
2024-08-05,София,VMV,Плодове и зеленчуци,Чушки люти Шипка България,NA,0.5700000000000001,NA,NA,5.69
2024-08-05,София,VMV,Плодове и зеленчуци,Зеле България,NA,1.6900000000000002,NA,NA,1.69
2024-08-05,София,VMV,Плодове и зеленчуци,Пъпеш България,NA,2.9899999999999998,NA,NA,1.99
2024-08-05,София,VMV,Плодове и зеленчуци,Домат розов България Ръгби,NA,2.59,NA,NA,2.59
2024-08-05,София,VMV,Плодове и зеленчуци,Круша Уилямс Гърция,NA,4.89,NA,NA,4.89
2024-08-05,София,VMV,Плодове и зеленчуци,Ябълка Фуджи Гърция,NA,4.89,NA,NA,4.89
2024-08-05,София,VMV,Плодове и зеленчуци,Ябълка зелена Гърция,NA,5.6899999999999995,NA,NA,5.69
2024-08-05,София,VMV,Плодове и зеленчуци,Лимон Лаймс Гърция,NA,1.8900000000000001,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Лук Шалот Испания,NA,4.89,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,"Гъба Челядинка сушена 0,030 България",NA,9.79,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Алое,NA,11.39,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Зеле червено България,NA,2.9899999999999998,NA,NA,2.99
2024-08-05,София,VMV,Плодове и зеленчуци,Круша Санта Гърция,NA,7.79,NA,NA,7.79
2024-08-05,София,VMV,Плодове и зеленчуци,Грейпфрут Помело червено Китай,NA,7.29,NA,NA,7.29
2024-08-05,София,VMV,Плодове и зеленчуци,Фенел Гърция,NA,5.2,NA,NA,12.99
2024-08-05,София,VMV,Плодове и зеленчуци,Грейпфрут червен Турция,NA,4.29,NA,NA,4.29
2024-08-05,София,VMV,Плодове и зеленчуци,Киви Златно Испания,NA,24.39,NA,NA,24.39
2024-08-05,София,VMV,Плодове и зеленчуци,Круша червена Ред Бартлет Турция,NA,6.1899999999999995,NA,NA,6.19
2024-08-05,София,VMV,Плодове и зеленчуци,Целина глава Холандия,NA,3.5,NA,NA,6.99
2024-08-05,София,VMV,Плодове и зеленчуци,Фасул жълт Гърция,NA,7.29,NA,NA,7.29
2024-08-05,София,VMV,Плодове и зеленчуци,Цикория Италия,NA,6.51,NA,NA,21.69
2024-08-05,София,VMV,Плодове и зеленчуци,Ананас Коста Рика Екстра Южна Африка,NA,11.69,NA,NA,7.79
2024-08-05,София,VMV,Плодове и зеленчуци,Радичио Испания,NA,2.44,NA,NA,16.29
2024-08-05,София,VMV,Плодове и зеленчуци,Гъба Кладница България,NA,16.29,NA,NA,16.29
2024-08-05,София,VMV,Плодове и зеленчуци,Круша Абат Фетел Турция,NA,4.21,NA,NA,4.21
2024-08-05,София,VMV,Плодове и зеленчуци,Папая Бразилия,NA,16.29,NA,NA,16.29
2024-08-05,София,VMV,Плодове и зеленчуци,Грозде Бяло със семки Гърция,NA,8.89,NA,NA,8.89
2024-08-05,София,VMV,Плодове и зеленчуци,Ананас Коста Рика II Южна Африка,NA,4.79,NA,NA,4.79
2024-08-05,София,VMV,Плодове и зеленчуци,"Боровинка 0,125 България",NA,2.9899999999999998,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Авокадо Гърция,NA,3.09,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Фреш на деня 1 л,NA,7.6899999999999995,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Ананас нарязан в кутия 1 бр.,NA,5.99,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Манго Гърция,NA,7.29,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,"Спанак бейби 0,100 Италия",NA,3.8899999999999997,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Авокадо Хаас Испания,NA,6.89,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Питахая Тайланд,NA,20.29,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Питахая Жълта Испания,NA,19.29,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Грозде Розе Гърция,NA,16.29,NA,NA,16.29
2024-08-05,София,VMV,Плодове и зеленчуци,Ябълка жълта България,NA,4.59,NA,NA,4.59
2024-08-05,София,VMV,Плодове и зеленчуци,Нектарина Гърция,NA,5.1899999999999995,NA,NA,5.19
2024-08-05,София,VMV,Плодове и зеленчуци,Магданоз България,NA,0.69,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Копър България,NA,0.99,NA,NA,NA
2024-08-05,София,VMV,Плодове и зеленчуци,Фреш Морков + Ябълка + Мента 1 л.,NA,7.99,NA,NA,NA
