date,location,source,type,product,unit,price,price_old,discount,price_kg
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Банани 500г,NA,1.95,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Краставици 500г,NA,2.9299999999999997,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Домати розови 500г,NA,2,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Лук жълт 500г,NA,0.9,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Моркови 500г,NA,0.93,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Домати Червени 500г,NA,1.7,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Тиквички 500г,NA,0.98,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Лук зелен връзка бр,NA,1.55,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Портокали 500г,NA,1.58,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Чушка Капия червена пипер 500г,NA,1.95,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Магданоз връзка бр,NA,1.3900000000000001,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Лимон 500г,NA,2.48,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Копър връзка бр,NA,1.8900000000000001,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Чушка Капия зелена пипер 500г,NA,1.25,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Портокал за фреш 500г,NA,1.35,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Диня 1кг,NA,1.25,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Домати чери 500г,NA,2.9299999999999997,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Киви 500г,NA,4.88,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Ябълки Жълти 500г,NA,2.08,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Авокадо 250г,NA,3.57,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Чушки Люти 100г,NA,0.56,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Нектарини 500г,NA,2.15,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Патладжан 500г,NA,1.05,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Ябълки Зелени 500г,NA,2.08,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Круши 500г,NA,2.15,NA,NA,NA
2024-08-05,Варна,Zasiti,Плодове и зеленчуци,Праскови 500г,NA,1.83,NA,NA,NA
